path_meter_pos[m]	speed[kmph]	lat[deg]	long[deg]
string	string	double	double
0.00	15.0	59.833321	30.499341
0.50	15.0	59.833319	30.499349
1.00	15.0	59.833316	30.499356
1.50	15.0	59.833313	30.499363
2.00	15.0	59.833311	30.499370
2.50	15.0	59.833308	30.499378
3.00	15.0	59.833305	30.499385
3.50	15.0	59.833303	30.499392
4.00	15.0	59.833300	30.499399
4.50	15.0	59.833297	30.499407
5.00	15.0	59.833295	30.499414
5.50	15.0	59.833292	30.499421
6.00	15.0	59.833289	30.499428
6.50	19.8	59.833287	30.499436
7.00	19.3	59.833284	30.499443
7.50	18.8	59.833281	30.499450
8.00	18.3	59.833279	30.499457
8.50	17.7	59.833276	30.499465
9.00	17.2	59.833273	30.499472
9.50	16.6	59.833271	30.499479
10.00	16.0	59.833268	30.499486
10.50	15.4	59.833265	30.499493
11.00	15.0	59.833264	30.499498
